project_title,domain,tech_stack,batch_year,status,team_size,mentor
Online Food Ordering System 2019,Web Dev,"Angular, Spring Boot, MySQL",2019,Completed,3,Dr. Joshi
E-Commerce Platform with Recommendations,Web Dev,"React, Node.js, MongoDB",2019,Completed,4,Dr. Pardesi
Job Portal with AI Matching,Web Dev,"React, Node.js, MongoDB",2019,Completed,3,Prof. Radhika Dhanal
College ERP System,Web Dev,"Next.js, Tailwind, Firebase",2019,Completed,5,Prof. Verma
Online Voting System 2019,Web Dev,"React, Express, MySQL",2019,Completed,3,Prof. Verma
Online Examination Portal,Web Dev,"Vue.js, Django, MySQL",2019,Completed,3,Prof. Sunny Mohite
Blood Bank Management System,Web Dev,"Angular, Spring Boot, MySQL",2019,Completed,3,Dr. Pardesi
Smart Energy Meter,IoT,"Arduino, C++, Bluetooth",2019,Completed,3,Prof. Radhika Dhanal
Health Monitoring Wearable,IoT,"Raspberry Pi, Python, Firebase",2019,Completed,1,Prof. Verma
Health Monitoring Wearable 2019,IoT,"Raspberry Pi, OpenCV, Python",2019,Completed,2,Dr.K.T.Mane
Health Monitoring Wearable 2019,IoT,"Arduino, Python, MQTT",2019,Completed,4,Prof. Radhika Dhanal
Vulnerability Scanner Tool,Cybersecurity,"Python, Scapy, Burp Suite",2019,Completed,2,Dr. Kapil Kadam
Digital Forensics Framework,Cybersecurity,"Python, Nmap, Kali Linux",2019,Completed,4,Prof. Sunny Mohite
Password Strength Analyzer,Cybersecurity,"Python, Wireshark, Metasploit",2019,Completed,3,Prof. Jitkar
Digital Forensics Framework 2019,Cybersecurity,"Python, Wireshark, Metasploit",2019,Completed,5,Prof. Radhika Dhanal
Campus Navigation App,Mobile,"Swift, iOS, CoreData",2019,Completed,4,Prof. Radhika Dhanal
Fitness Tracker Application,Mobile,"React Native, Node.js, MongoDB",2019,Completed,3,Prof. Jitkar
Food Delivery Clone App,Mobile,"Android, Java, SQLite",2019,Completed,4,Prof. Radhika Dhanal
Mental Health Support App,Mobile,"Flutter, Dart, Firebase",2019,Completed,5,Dr.K.T.Mane
Expense Tracker Application,Mobile,"React Native, Node.js, MongoDB",2019,Completed,3,Prof. Sunny Mohite
Smart Contract Audit Tool,Blockchain,"Solidity, Ethereum, React",2019,Completed,1,Prof. Jitkar
Cloud Cost Optimizer Tool,Cloud,"Azure, Kubernetes, Terraform",2019,Completed,3,Prof. Verma
Virtual Lab Simulation,AR/VR,"Unity, C#, ARCore",2019,Completed,2,Dr.K.T.Mane
Fraud Detection System,AI/ML,"Python, Keras, Matplotlib",2020,Completed,3,Dr.K.T.Mane
Student Performance Prediction System,AI/ML,"Python, OpenCV, YOLO",2020,Completed,5,Prof. Verma
AI Chatbot using NLP 2020,AI/ML,"Python, TensorFlow, Pandas",2020,Ongoing,2,Dr. Kapil Kadam
Fake News Detection using NLP,AI/ML,"Python, OpenCV, YOLO",2020,Completed,4,Prof. Jitkar
Sentiment Analysis of Reviews 2020,AI/ML,"Python, OpenCV, YOLO",2020,Completed,3,Dr. Nair
Fake News Detection using NLP 2020,AI/ML,"Python, BERT, HuggingFace",2020,Completed,3,Dr. Khan
Resume Screening using AI 2020,AI/ML,"Python, PyTorch, NumPy",2020,Completed,2,Dr. Pardesi
Spam Email Classifier,AI/ML,"Python, PyTorch, NumPy",2020,Completed,2,Dr. Khan
Fake News Detection using NLP 2020,AI/ML,"Python, TensorFlow, Pandas",2020,Completed,5,Prof. Radhika Dhanal
Fake News Detection using NLP 2020,AI/ML,"Python, OpenCV, YOLO",2020,Completed,2,Dr. Khan
Fake News Detection using NLP 2020,AI/ML,"Python, PyTorch, NumPy",2020,Completed,2,Prof. Verma
Road Sign Recognition System 2020,AI/ML,"Python, OpenCV, YOLO",2020,Ongoing,4,Prof. Verma
Crop Disease Detection using CNN,AI/ML,"Python, Keras, Matplotlib",2020,Completed,2,Prof. Radhika Dhanal
Real-time Object Detection System,AI/ML,"Python, Scikit-learn, Flask",2020,Completed,2,Prof. Verma
Real-time Object Detection System 2020,AI/ML,"Python, Scikit-learn, Flask",2020,Completed,2,Dr. Khan
Medical Image Classification 2020,AI/ML,"Python, Keras, Matplotlib",2020,Completed,2,Dr. Joshi
Resume Screening using AI 2020,AI/ML,"Python, TensorFlow, Pandas",2020,Completed,3,Dr. Pardesi
Student Performance Prediction System 2020,AI/ML,"Python, TensorFlow, Pandas",2020,Completed,2,Dr. Pardesi
AI Chatbot using NLP 2020,AI/ML,"Python, Keras, Matplotlib",2020,Completed,3,Prof. Verma
Crop Disease Detection using CNN 2020,AI/ML,"Python, TensorFlow, Pandas",2020,Completed,4,Dr. Kapil Kadam
Customer Churn Prediction,AI/ML,"Python, TensorFlow, Pandas",2020,Completed,3,Dr. Kapil Kadam
Brain Tumor Detection using MRI 2020,AI/ML,"Python, PyTorch, NumPy",2020,Completed,3,Dr.K.T.Mane
Hand Gesture Recognition 2020,AI/ML,"Python, PyTorch, NumPy",2020,Completed,3,Dr. Khan
Customer Churn Prediction 2020,AI/ML,"Python, BERT, HuggingFace",2020,Ongoing,3,Prof. Sunny Mohite
College Fest Website 2020,Web Dev,"React, Express, MySQL",2020,Ongoing,4,Prof. Jitkar
E-Commerce Platform with Recommendations 2020,Web Dev,"React, Express, MySQL",2020,Completed,2,Prof. Jitkar
Online Voting System 2020,Web Dev,"React, Express, MySQL",2020,Completed,4,Prof. Radhika Dhanal
Hospital Appointment System 2020,Web Dev,"React, Node.js, MongoDB",2020,Completed,2,Dr. Joshi
Library Management System,Web Dev,"Vue.js, Django, MySQL",2020,Completed,4,Prof. Sunny Mohite
E-Commerce Platform with Recommendations 2020,Web Dev,"React, Express, MySQL",2020,Completed,2,Prof. Radhika Dhanal
Online Voting System 2020,Web Dev,"Vue.js, Django, MySQL",2020,Completed,3,Prof. Verma
Library Management System 2020,Web Dev,"React, Node.js, MongoDB",2020,Completed,5,Dr. Kapil Kadam
Event Management Platform,Web Dev,"Vue.js, Django, MySQL",2020,Completed,3,Dr. Khan
Student Grievance System,Web Dev,"Vue.js, Django, MySQL",2020,Completed,5,Prof. Radhika Dhanal
Hospital Appointment System 2020,Web Dev,"Angular, Spring Boot, MySQL",2020,Completed,1,Prof. Jitkar
E-Commerce Platform with Recommendations 2020,Web Dev,"Angular, Spring Boot, MySQL",2020,Ongoing,3,Prof. Sunny Mohite
Library Management System 2020,Web Dev,"Next.js, Tailwind, Firebase",2020,Completed,3,Dr. Khan
Event Management Platform 2020,Web Dev,"Vue.js, Django, MySQL",2020,Completed,2,Dr. Pardesi
Online Food Ordering System 2020,Web Dev,"Vue.js, Django, MySQL",2020,Completed,2,Dr. Pardesi
Online Food Ordering System 2020,Web Dev,"React, Express, MySQL",2020,Completed,3,Prof. Jitkar
Alumni Connect Portal 2020,Web Dev,"React, Express, MySQL",2020,Completed,2,Prof. Verma
College Fest Website 2020,Web Dev,"React, Node.js, MongoDB",2020,Completed,2,Dr. Nair
Event Management Platform 2020,Web Dev,"Vue.js, Django, MySQL",2020,Completed,3,Prof. Sunny Mohite
Online Food Ordering System 2020,Web Dev,"Next.js, Tailwind, Firebase",2020,Completed,5,Dr. Kapil Kadam
Precision Agriculture Monitoring,IoT,"Arduino, C++, Bluetooth",2020,Completed,3,Dr. Khan
Precision Agriculture Monitoring 2020,IoT,"Raspberry Pi, Python, Firebase",2020,Completed,2,Prof. Sunny Mohite
Smart Parking System,IoT,"Arduino, Python, MQTT",2020,Completed,5,Dr. Nair
Precision Agriculture Monitoring 2020,IoT,"ESP32, MicroPython, MQTT",2020,Completed,3,Prof. Sunny Mohite
Smart Energy Meter 2020,IoT,"ESP32, MicroPython, MQTT",2020,Completed,2,Dr.K.T.Mane
Precision Agriculture Monitoring 2020,IoT,"ESP32, MicroPython, MQTT",2020,Completed,4,Prof. Verma
Digital Forensics Framework 2020,Cybersecurity,"Python, Wireshark, Metasploit",2020,Completed,5,Prof. Radhika Dhanal
Digital Forensics Framework 2020,Cybersecurity,"Python, Nmap, Kali Linux",2020,Completed,3,Prof. Verma
Firewall Rule Optimizer,Cybersecurity,"Python, Snort, Wireshark",2020,Completed,3,Prof. Verma
Steganography Tool,Cybersecurity,"Python, Snort, Wireshark",2020,Completed,3,Dr. Joshi
Digital Forensics Framework 2020,Cybersecurity,"Python, Scapy, Burp Suite",2020,Completed,4,Dr. Pardesi
Mental Health Support App 2020,Mobile,"React Native, Node.js, MongoDB",2020,Completed,2,Dr. Pardesi
Fitness Tracker Application 2020,Mobile,"Android, Java, SQLite",2020,Completed,4,Prof. Radhika Dhanal
Food Delivery Clone App 2020,Mobile,"React Native, Node.js, MongoDB",2020,Completed,3,Prof. Sunny Mohite
Expense Tracker Application 2020,Mobile,"Swift, iOS, CoreData",2020,Completed,3,Prof. Jitkar
Decentralized Voting System,Blockchain,"Solidity, Ethereum, React",2020,Completed,3,Dr. Nair
Certificate Verification System,Blockchain,"Solidity, Ethereum, React",2020,Completed,4,Prof. Jitkar
Multi-cloud Storage Manager,Cloud,"AWS, Python, Docker",2020,Ongoing,2,Prof. Jitkar
Virtual Lab Simulation 2020,AR/VR,"Unity, Vuforia, C#",2020,Completed,3,Dr. Nair
Stock Price Prediction Model 2021,AI/ML,"Python, BERT, HuggingFace",2021,Completed,3,Dr.K.T.Mane
Spam Email Classifier 2021,AI/ML,"Python, Scikit-learn, Flask",2021,Completed,4,Dr. Kapil Kadam
Sign Language Translator 2021,AI/ML,"Python, PyTorch, NumPy",2021,Abandoned,3,Prof. Jitkar
Fraud Detection System 2021,AI/ML,"Python, OpenCV, YOLO",2021,Completed,2,Prof. Jitkar
Real-time Object Detection System 2021,AI/ML,"Python, BERT, HuggingFace",2021,Completed,2,Dr. Khan
Medical Image Classification 2021,AI/ML,"Python, BERT, HuggingFace",2021,Completed,4,Prof. Jitkar
Resume Screening using AI 2021,AI/ML,"Python, BERT, HuggingFace",2021,Completed,2,Dr.K.T.Mane
Customer Churn Prediction 2021,AI/ML,"Python, TensorFlow, Pandas",2021,Abandoned,2,Prof. Radhika Dhanal
Student Performance Prediction System 2021,AI/ML,"Python, TensorFlow, Pandas",2021,Ongoing,2,Dr.K.T.Mane
Loan Default Prediction 2021,AI/ML,"Python, PyTorch, NumPy",2021,Completed,3,Prof. Radhika Dhanal
Fraud Detection System 2021,AI/ML,"Python, PyTorch, NumPy",2021,Completed,2,Dr. Khan
AI Chatbot using NLP 2021,AI/ML,"Python, OpenCV, YOLO",2021,Completed,3,Prof. Radhika Dhanal
AI Chatbot using NLP 2021,AI/ML,"Python, Scikit-learn, Flask",2021,Completed,1,Dr. Pardesi
Fraud Detection System 2021,AI/ML,"Python, Keras, Matplotlib",2021,Ongoing,3,Prof. Sunny Mohite
Fake News Detection using NLP 2021,AI/ML,"Python, OpenCV, YOLO",2021,Completed,3,Prof. Radhika Dhanal
Road Sign Recognition System 2021,AI/ML,"Python, Keras, Matplotlib",2021,Completed,2,Dr. Nair
Student Performance Prediction System 2021,AI/ML,"Python, Scikit-learn, Flask",2021,Completed,3,Prof. Radhika Dhanal
Air Quality Prediction Model,AI/ML,"Python, Keras, Matplotlib",2021,Completed,4,Dr. Joshi
Sentiment Analysis of Reviews 2021,AI/ML,"Python, BERT, HuggingFace",2021,Abandoned,3,Dr. Joshi
Real-time Object Detection System 2021,AI/ML,"Python, BERT, HuggingFace",2021,Completed,3,Dr. Pardesi
Loan Default Prediction 2021,AI/ML,"Python, OpenCV, YOLO",2021,Completed,3,Dr. Nair
Resume Screening using AI 2021,AI/ML,"Python, Scikit-learn, Flask",2021,Completed,4,Prof. Radhika Dhanal
Resume Screening using AI 2021,AI/ML,"Python, BERT, HuggingFace",2021,Completed,3,Dr. Nair
Spam Email Classifier 2021,AI/ML,"Python, Scikit-learn, Flask",2021,Completed,4,Dr. Kapil Kadam
Drowsiness Detection System,AI/ML,"Python, PyTorch, NumPy",2021,Completed,2,Dr. Pardesi
Loan Default Prediction 2021,AI/ML,"Python, Keras, Matplotlib",2021,Ongoing,3,Prof. Verma
Medical Image Classification 2021,AI/ML,"Python, TensorFlow, Pandas",2021,Completed,3,Prof. Verma
Stock Price Prediction Model 2021,AI/ML,"Python, Keras, Matplotlib",2021,Completed,3,Dr. Joshi
Crop Disease Detection using CNN 2021,AI/ML,"Python, TensorFlow, Pandas",2021,Completed,3,Prof. Sunny Mohite
Road Sign Recognition System 2021,AI/ML,"Python, Keras, Matplotlib",2021,Completed,3,Prof. Verma
Hand Gesture Recognition 2021,AI/ML,"Python, BERT, HuggingFace",2021,Abandoned,3,Dr. Khan
Sign Language Translator 2021,AI/ML,"Python, Scikit-learn, Flask",2021,Completed,2,Prof. Sunny Mohite
Face Recognition Attendance System 2021,AI/ML,"Python, TensorFlow, Pandas",2021,Completed,5,Dr. Kapil Kadam
Medical Image Classification 2021,AI/ML,"Python, PyTorch, NumPy",2021,Completed,2,Dr. Nair
Air Quality Prediction Model 2021,AI/ML,"Python, OpenCV, YOLO",2021,Completed,2,Prof. Sunny Mohite
Social Media Dashboard,Web Dev,"React, Express, MySQL",2021,Completed,2,Prof. Verma
Online Examination Portal 2021,Web Dev,"Vue.js, Django, MySQL",2021,Completed,2,Dr. Pardesi
Student Grievance System 2021,Web Dev,"React, Express, MySQL",2021,Completed,4,Prof. Radhika Dhanal
College Fest Website 2021,Web Dev,"React, Node.js, MongoDB",2021,Completed,3,Dr. Joshi
Library Management System 2021,Web Dev,"React, Express, MySQL",2021,Abandoned,2,Dr. Joshi
College ERP System 2021,Web Dev,"React, Node.js, MongoDB",2021,Completed,2,Dr.K.T.Mane
Online Examination Portal 2021,Web Dev,"React, Express, MySQL",2021,Completed,5,Prof. Radhika Dhanal
Job Portal with AI Matching 2021,Web Dev,"React, Node.js, MongoDB",2021,Completed,3,Dr. Nair
Online Voting System 2021,Web Dev,"Angular, Spring Boot, MySQL",2021,Completed,3,Dr. Joshi
Blood Bank Management System 2021,Web Dev,"Next.js, Tailwind, Firebase",2021,Completed,3,Prof. Jitkar
Social Media Dashboard 2021,Web Dev,"Angular, Spring Boot, MySQL",2021,Completed,3,Prof. Radhika Dhanal
Online Voting System 2021,Web Dev,"React, Express, MySQL",2021,Completed,2,Prof. Radhika Dhanal
Online Examination Portal 2021,Web Dev,"React, Express, MySQL",2021,Completed,2,Dr.K.T.Mane
Hospital Appointment System 2021,Web Dev,"Next.js, Tailwind, Firebase",2021,Completed,3,Dr.K.T.Mane
Job Portal with AI Matching 2021,Web Dev,"Vue.js, Django, MySQL",2021,Completed,3,Dr. Joshi
College ERP System 2021,Web Dev,"React, Express, MySQL",2021,Ongoing,4,Dr. Nair
Alumni Connect Portal 2021,Web Dev,"React, Express, MySQL",2021,Completed,3,Dr. Kapil Kadam
Blood Bank Management System 2021,Web Dev,"Vue.js, Django, MySQL",2021,Completed,2,Dr. Kapil Kadam
Online Voting System 2021,Web Dev,"Vue.js, Django, MySQL",2021,Completed,4,Dr. Pardesi
Placement Management Portal 2021,Web Dev,"React, Node.js, MongoDB",2021,Completed,2,Prof. Jitkar
Social Media Dashboard 2021,Web Dev,"Angular, Spring Boot, MySQL",2021,Completed,3,Dr. Nair
E-Commerce Platform with Recommendations 2021,Web Dev,"Next.js, Tailwind, Firebase",2021,Completed,3,Dr.K.T.Mane
Precision Agriculture Monitoring 2021,IoT,"Raspberry Pi, Python, Firebase",2021,Abandoned,4,Dr. Nair
Vehicle Tracking System,IoT,"Arduino, Python, MQTT",2021,Abandoned,3,Dr. Pardesi
Vehicle Tracking System 2021,IoT,"Arduino, Python, MQTT",2021,Completed,2,Prof. Verma
Waste Management System,IoT,"Arduino, C++, Bluetooth",2021,Completed,3,Dr. Joshi
Precision Agriculture Monitoring 2021,IoT,"ESP32, MicroPython, MQTT",2021,Completed,2,Prof. Radhika Dhanal
Smart Parking System 2021,IoT,"Arduino, C++, Bluetooth",2021,Completed,3,Prof. Jitkar
Smart Street Light Control,IoT,"Arduino, Python, MQTT",2021,Completed,2,Dr. Khan
Precision Agriculture Monitoring 2021,IoT,"ESP32, MicroPython, MQTT",2021,Completed,4,Dr.K.T.Mane
Digital Forensics Framework 2021,Cybersecurity,"Python, Snort, Wireshark",2021,Completed,3,Dr. Nair
Digital Forensics Framework 2021,Cybersecurity,"Python, Snort, Wireshark",2021,Completed,2,Prof. Verma
Phishing Website Detector,Cybersecurity,"Python, Scapy, Burp Suite",2021,Completed,3,Prof. Radhika Dhanal
Network Intrusion Detection System,Cybersecurity,"Python, Nmap, Kali Linux",2021,Completed,2,Dr.K.T.Mane
Steganography Tool 2021,Cybersecurity,"Python, Wireshark, Metasploit",2021,Completed,4,Prof. Radhika Dhanal
Digital Forensics Framework 2021,Cybersecurity,"Python, Wireshark, Metasploit",2021,Completed,2,Dr. Pardesi
Event Management Mobile App,Mobile,"Swift, iOS, CoreData",2021,Completed,5,Prof. Sunny Mohite
Mental Health Support App 2021,Mobile,"React Native, Node.js, MongoDB",2021,Completed,5,Prof. Verma
Food Delivery Clone App 2021,Mobile,"Flutter, Dart, Firebase",2021,Completed,4,Prof. Jitkar
E-Learning Mobile Platform,Mobile,"Android, Java, SQLite",2021,Completed,2,Dr. Pardesi
Mental Health Support App 2021,Mobile,"React Native, Node.js, MongoDB",2021,Completed,3,Dr. Khan
Decentralized Finance App,Blockchain,"Python, Web3.py, Ethereum",2021,Completed,5,Prof. Sunny Mohite
Certificate Verification System 2021,Blockchain,"Solidity, Ethereum, React",2021,Completed,2,Prof. Jitkar
Decentralized Voting System 2021,Blockchain,"Solidity, Hardhat, Web3.js",2021,Completed,3,Prof. Jitkar
Smart Contract Audit Tool 2021,Blockchain,"Python, Web3.py, Ethereum",2021,Completed,3,Dr. Kapil Kadam
Multi-cloud Storage Manager 2021,Cloud,"AWS, Python, Docker",2021,Completed,5,Dr. Khan
Serverless REST API System,Cloud,"Azure, Kubernetes, Terraform",2021,Completed,5,Dr.K.T.Mane
VR Classroom Simulator,AR/VR,"Unreal Engine, C++, VR",2021,Completed,5,Prof. Radhika Dhanal
Drowsiness Detection System 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Completed,3,Prof. Radhika Dhanal
Face Recognition Attendance System 2022,AI/ML,"Python, Keras, Matplotlib",2022,Ongoing,3,Dr. Khan
Drowsiness Detection System 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,2,Dr. Pardesi
Stock Price Prediction Model 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,5,Prof. Radhika Dhanal
Sign Language Translator 2022,AI/ML,"Python, PyTorch, NumPy",2022,Completed,5,Dr.K.T.Mane
Face Recognition Attendance System 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,3,Dr. Kapil Kadam
Stock Price Prediction Model 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,3,Dr. Kapil Kadam
AI Chatbot using NLP 2022,AI/ML,"Python, PyTorch, NumPy",2022,Completed,4,Dr. Nair
Stock Price Prediction Model 2022,AI/ML,"Python, BERT, HuggingFace",2022,Ongoing,2,Dr. Joshi
Resume Screening using AI 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,1,Dr. Joshi
Road Sign Recognition System 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,2,Dr. Khan
Fraud Detection System 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Completed,3,Dr. Pardesi
Sign Language Translator 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Completed,3,Dr. Joshi
Sentiment Analysis of Reviews 2022,AI/ML,"Python, PyTorch, NumPy",2022,Completed,3,Dr. Pardesi
Road Sign Recognition System 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Abandoned,3,Dr. Pardesi
Crop Disease Detection using CNN 2022,AI/ML,"Python, OpenCV, YOLO",2022,Ongoing,4,Dr.K.T.Mane
Loan Default Prediction 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,5,Dr. Pardesi
Stock Price Prediction Model 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,2,Prof. Sunny Mohite
Loan Default Prediction 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Completed,3,Dr. Kapil Kadam
Sentiment Analysis of Reviews 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,2,Dr. Joshi
Student Performance Prediction System 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,2,Dr. Pardesi
Face Recognition Attendance System 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,2,Prof. Verma
Hand Gesture Recognition 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,2,Dr. Kapil Kadam
Resume Screening using AI 2022,AI/ML,"Python, BERT, HuggingFace",2022,Abandoned,2,Dr. Khan
Sentiment Analysis of Reviews 2022,AI/ML,"Python, BERT, HuggingFace",2022,Abandoned,2,Prof. Sunny Mohite
Spam Email Classifier 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,4,Dr.K.T.Mane
Resume Screening using AI 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,3,Dr. Pardesi
Fraud Detection System 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,5,Prof. Radhika Dhanal
Stock Price Prediction Model 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,4,Prof. Verma
Face Recognition Attendance System 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,2,Dr. Joshi
Road Sign Recognition System 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,2,Dr.K.T.Mane
Road Sign Recognition System 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,2,Prof. Verma
Real-time Object Detection System 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,3,Prof. Verma
Brain Tumor Detection using MRI 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,2,Prof. Jitkar
Sentiment Analysis of Reviews 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,5,Dr. Pardesi
Student Performance Prediction System 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,3,Prof. Sunny Mohite
Hand Gesture Recognition 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Abandoned,3,Dr. Khan
Student Performance Prediction System 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,5,Dr. Joshi
Fake News Detection using NLP 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,3,Dr.K.T.Mane
Student Performance Prediction System 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Completed,2,Dr. Nair
Medical Image Classification 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,3,Dr. Nair
Medical Image Classification 2022,AI/ML,"Python, PyTorch, NumPy",2022,Completed,2,Dr. Nair
Crop Disease Detection using CNN 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Ongoing,2,Dr. Kapil Kadam
Customer Churn Prediction 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Completed,2,Dr.K.T.Mane
Real-time Object Detection System 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,4,Dr. Nair
Face Recognition Attendance System 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,2,Prof. Jitkar
Air Quality Prediction Model 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,3,Dr. Khan
Air Quality Prediction Model 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,3,Dr. Nair
Student Performance Prediction System 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,4,Prof. Verma
Road Sign Recognition System 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,1,Dr. Joshi
Spam Email Classifier 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,3,Dr. Joshi
Fake News Detection using NLP 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,2,Dr. Kapil Kadam
Social Media Dashboard 2022,Web Dev,"Angular, Spring Boot, MySQL",2022,Completed,3,Dr. Khan
Hospital Appointment System 2022,Web Dev,"Angular, Spring Boot, MySQL",2022,Completed,3,Dr. Nair
Hospital Appointment System 2022,Web Dev,"React, Node.js, MongoDB",2022,Completed,2,Prof. Verma
Student Grievance System 2022,Web Dev,"React, Express, MySQL",2022,Completed,4,Prof. Jitkar
Library Management System 2022,Web Dev,"Next.js, Tailwind, Firebase",2022,Completed,3,Dr. Khan
Hospital Appointment System 2022,Web Dev,"Vue.js, Django, MySQL",2022,Completed,3,Dr. Kapil Kadam
Alumni Connect Portal 2022,Web Dev,"Next.js, Tailwind, Firebase",2022,Completed,4,Prof. Radhika Dhanal
Hospital Appointment System 2022,Web Dev,"React, Node.js, MongoDB",2022,Completed,3,Dr. Kapil Kadam
Online Food Ordering System 2022,Web Dev,"React, Node.js, MongoDB",2022,Completed,3,Dr. Khan
