project_title,domain,tech_stack,batch_year,status,team_size,mentor
Distributed Inventory Management Dashboard,Web Dev,"AWS, Python, Docker",2021,Ongoing,5,Dr. Khan
Interactive Games Application,AR/VR,"ESP32, MicroPython, MQTT",2022,Ongoing,4,Prof. Verma
Smart Voting System Framework,Blockchain,"ESP32, MicroPython, MQTT",2025,Abandoned,3,Dr. Joshi
Smart Virtual Tour Framework,AR/VR,"Raspberry Pi, OpenCV, Python",2024,Completed,5,Dr. Joshi
Intelligent Recipe App System,Mobile,"React, Express, MySQL",2021,Abandoned,4,Dr.K.T.Mane
Scalable Property Registry Service,Blockchain,"Arduino, C++, Bluetooth",2021,Abandoned,5,Dr. Pardesi
Smart Recipe App Mechanism,Mobile,"Next.js, Tailwind, Firebase",2022,Completed,5,Dr.K.T.Mane
Distributed Portfolio Platform Toolkit,Web Dev,"ESP32, MicroPython, MQTT",2021,Completed,3,Dr. Nair
Distributed Identity Verification System,Blockchain,"Flutter, Dart, Firebase",2021,Completed,1,Prof. Sunny Mohite
Interactive Password Vault Framework,Cybersecurity,"Unity, C#, ARCore",2024,Abandoned,3,Prof. Radhika Dhanal
Secure Travel Guide System,Mobile,"Flutter, Dart, Firebase",2023,Abandoned,2,Dr. Khan
Real-time Games Toolkit,AR/VR,"React, Node.js, MongoDB",2021,Completed,3,Dr.K.T.Mane
Integrated Phishing Shield Service,Cybersecurity,"Raspberry Pi, Python, Firebase",2021,Abandoned,1,Dr. Khan
Distributed Recipe App Service,Mobile,"Android, Java, SQLite",2023,Abandoned,4,Prof. Verma
Automated Games Framework,AR/VR,"Azure, Kubernetes, Terraform",2024,Abandoned,2,Dr.K.T.Mane
Interactive Auto-scaling System Service,Cloud,"React Native, Node.js, MongoDB",2023,Completed,4,Dr.K.T.Mane
Integrated Facial Recognition Mechanism,AI/ML,"Python, Scapy, Burp Suite",2025,Abandoned,4,Dr. Khan
Scalable Fraud Detection Framework,AI/ML,"Python, Scapy, Burp Suite",2021,Ongoing,5,Dr.K.T.Mane
Real-time Traffic Prediction Framework,AI/ML,"Android, Java, SQLite",2024,Abandoned,3,Dr. Joshi
Intelligent Games Dashboard,AR/VR,"Python, Wireshark, Metasploit",2021,Completed,2,Dr. Nair
Scalable Supply Chain Tracking Application,Blockchain,"Raspberry Pi, Python, Firebase",2024,Abandoned,5,Prof. Jitkar
Smart Stock Analysis Framework,AI/ML,"Raspberry Pi, Python, Firebase",2021,Completed,3,Dr. Khan
Real-time Recipe App Toolkit,Mobile,"Python, OpenCV, YOLO",2025,Completed,5,Dr. Pardesi
Real-time Cancer Detection Application,AI/ML,"Flutter, Dart, Firebase",2021,Ongoing,4,Dr. Khan
Real-time Portfolio Platform Service,Web Dev,"Python, OpenCV, YOLO",2023,Completed,3,Dr. Pardesi
Automated Multi-cloud Manager Application,Cloud,"Solidity, Ethereum, React",2024,Completed,3,Dr. Pardesi
Integrated Cancer Detection Service,AI/ML,"Next.js, Tailwind, Firebase",2021,Completed,1,Dr. Pardesi
Integrated Recipe App Application,Mobile,"Python, Snort, Wireshark",2021,Ongoing,1,Prof. Verma
Optimized Games System,AR/VR,"Unreal Engine, C++, VR",2022,Ongoing,1,Dr. Kapil Kadam
Integrated Marketplace Framework,Web Dev,"Python, Nmap, Kali Linux",2024,Abandoned,2,Prof. Radhika Dhanal
Scalable Data Storage Application,Cloud,"Raspberry Pi, Python, Firebase",2024,Completed,4,Prof. Verma
Interactive Identity Verification Toolkit,Blockchain,"AWS, Python, Docker",2023,Ongoing,1,Prof. Sunny Mohite
Intelligent Resource Scheduler Mechanism,Cloud,"AWS, Python, Docker",2023,Completed,3,Dr. Khan
Automated Marketplace Framework,Web Dev,"Unity, Vuforia, C#",2021,Completed,5,Prof. Radhika Dhanal
Secure Facial Recognition Dashboard,AI/ML,"Python, Scikit-learn, Flask",2023,Abandoned,4,Dr. Joshi
Real-time Data Storage Platform,Cloud,"Raspberry Pi, Python, Firebase",2024,Abandoned,5,Dr. Nair
Intelligent Multi-cloud Manager Platform,Cloud,"GCP, Python, Pub/Sub",2024,Abandoned,3,Dr. Pardesi
Scalable Resource Scheduler Framework,Cloud,"Next.js, Tailwind, Firebase",2024,Abandoned,1,Prof. Radhika Dhanal
Real-time Games Mechanism,AR/VR,"Raspberry Pi, OpenCV, Python",2022,Abandoned,3,Prof. Jitkar
Interactive Language Translation Dashboard,AI/ML,"Unity, C#, ARCore",2025,Completed,4,Prof. Verma
Automated Data Storage Mechanism,Cloud,"Python, Nmap, Kali Linux",2022,Completed,3,Prof. Jitkar
Smart Cancer Detection Platform,AI/ML,"Python, Scikit-learn, Flask",2021,Completed,5,Dr. Joshi
Real-time Training Simulation Service,AR/VR,"Python, Snort, Wireshark",2025,Completed,4,Dr. Pardesi
Intelligent Patient Monitoring Platform,IoT,"Python, Snort, Wireshark",2021,Abandoned,1,Dr. Kapil Kadam
Scalable Supply Chain Tracking System,Blockchain,"Unity, C#, ARCore",2025,Ongoing,5,Prof. Verma
Scalable Education App Service,Mobile,"Raspberry Pi, Python, Firebase",2023,Completed,5,Prof. Radhika Dhanal
Intelligent Encryption Tool Toolkit,Cybersecurity,"Python, Wireshark, Metasploit",2021,Ongoing,3,Dr. Nair
Automated Cancer Detection Mechanism,AI/ML,"Python, Wireshark, Metasploit",2021,Abandoned,3,Dr. Pardesi
Secure Auto-scaling System Application,Cloud,"Flutter, Dart, Firebase",2022,Abandoned,5,Prof. Sunny Mohite
Interactive Recipe App Toolkit,Mobile,"Swift, iOS, CoreData",2024,Completed,2,Dr. Khan
Automated Energy Metering Toolkit,IoT,"Python, Wireshark, Metasploit",2024,Ongoing,5,Prof. Sunny Mohite
Integrated Education App Service,Mobile,"Python, Nmap, Kali Linux",2022,Abandoned,1,Dr. Kapil Kadam
Secure Serverless API Framework,Cloud,"Swift, iOS, CoreData",2021,Ongoing,5,Prof. Jitkar
Automated Supply Chain Tracking Service,Blockchain,"React, Express, MySQL",2021,Completed,2,Prof. Sunny Mohite
Smart Smart Parking Toolkit,IoT,"React, Express, MySQL",2021,Abandoned,1,Prof. Sunny Mohite
Intelligent Voting System Framework,Blockchain,"Python, BERT, HuggingFace",2023,Ongoing,1,Dr. Joshi
Distributed Travel Guide Framework,Mobile,"Python, Web3.py, Ethereum",2025,Ongoing,3,Prof. Jitkar
Optimized Encryption Tool Framework,Cybersecurity,"Raspberry Pi, OpenCV, Python",2023,Completed,2,Dr. Joshi
Scalable Smart Parking Service,IoT,"Arduino, C++, Bluetooth",2022,Completed,1,Dr. Nair
Integrated Energy Metering Service,IoT,"Python, Scikit-learn, Flask",2022,Abandoned,1,Dr. Pardesi
Scalable Intrusion Detection Dashboard,Cybersecurity,"Python, Wireshark, Metasploit",2024,Ongoing,5,Dr.K.T.Mane
Automated Fraud Detection Mechanism,AI/ML,"React, Express, MySQL",2024,Ongoing,1,Dr.K.T.Mane
Smart Intrusion Detection Mechanism,Cybersecurity,"Python, Wireshark, Metasploit",2024,Ongoing,1,Dr.K.T.Mane
Real-time Home Automation Framework,IoT,"Python, Wireshark, Metasploit",2021,Completed,3,Dr. Joshi
Smart Home Automation Service,IoT,"Python, BERT, HuggingFace",2024,Abandoned,3,Prof. Jitkar
Integrated Supply Chain Tracking Mechanism,Blockchain,"Arduino, C++, Bluetooth",2021,Abandoned,3,Prof. Sunny Mohite
Smart Education App Dashboard,Mobile,"Python, TensorFlow, Pandas",2025,Ongoing,5,Dr. Pardesi
Automated Fitness Tracker Framework,Mobile,"AWS, Python, Docker",2021,Completed,4,Dr. Pardesi
Optimized Waste Management System,IoT,"Angular, Spring Boot, MySQL",2025,Completed,2,Dr. Joshi
Distributed Portfolio Platform Dashboard,Web Dev,"Raspberry Pi, OpenCV, Python",2023,Ongoing,4,Dr.K.T.Mane
Integrated Marketplace Dashboard,Web Dev,"ESP32, MicroPython, MQTT",2024,Abandoned,3,Prof. Jitkar
Scalable Booking System Platform,Web Dev,"React, Node.js, MongoDB",2023,Ongoing,3,Prof. Radhika Dhanal
Scalable Recipe App Dashboard,Mobile,"ESP32, MicroPython, MQTT",2021,Abandoned,1,Prof. Radhika Dhanal
Smart Network Firewall Framework,Cybersecurity,"React, Node.js, MongoDB",2024,Ongoing,1,Dr.K.T.Mane
Automated Games Platform,AR/VR,"Unity, Vuforia, C#",2021,Completed,1,Dr. Pardesi
Smart Education App Framework,Mobile,"Angular, Spring Boot, MySQL",2024,Ongoing,5,Prof. Jitkar
Distributed Waste Management Dashboard,IoT,"Python, Wireshark, Metasploit",2024,Abandoned,2,Dr. Pardesi
Scalable Waste Management Mechanism,IoT,"Solidity, Hardhat, Web3.js",2021,Abandoned,1,Prof. Verma
Scalable Facial Recognition Toolkit,AI/ML,"Solidity, Ethereum, React",2021,Completed,4,Dr. Khan
Smart Interactive Museum System,AR/VR,"Vue.js, Django, MySQL",2024,Completed,1,Prof. Jitkar
Interactive Encryption Tool Toolkit,Cybersecurity,"Python, BERT, HuggingFace",2022,Ongoing,4,Prof. Sunny Mohite
Smart Phishing Shield Toolkit,Cybersecurity,"AWS, Python, Docker",2021,Abandoned,5,Dr. Joshi
Automated Education App System,Mobile,"Raspberry Pi, Python, Firebase",2023,Ongoing,5,Dr. Kapil Kadam
Interactive Booking System Mechanism,Web Dev,"Python, Scapy, Burp Suite",2021,Abandoned,4,Dr. Nair
Secure Smart Parking Framework,IoT,"Python, OpenCV, YOLO",2025,Ongoing,3,Dr. Kapil Kadam
Real-time Property Registry Dashboard,Blockchain,"Swift, iOS, CoreData",2024,Abandoned,4,Prof. Sunny Mohite
Automated Intrusion Detection Application,Cybersecurity,"React Native, Node.js, MongoDB",2021,Abandoned,4,Dr.K.T.Mane
Scalable Supply Chain Tracking Dashboard,Blockchain,"Python, TensorFlow, Pandas",2024,Ongoing,4,Dr.K.T.Mane
Interactive Auto-scaling System System,Cloud,"Python, Scikit-learn, Flask",2021,Ongoing,2,Prof. Sunny Mohite
Interactive Supply Chain Tracking System,Blockchain,"Solidity, Ethereum, React",2022,Ongoing,4,Prof. Radhika Dhanal
Optimized Property Registry Dashboard,Blockchain,"Solidity, Hardhat, Web3.js",2021,Abandoned,2,Prof. Radhika Dhanal
Smart Interactive Museum Framework,AR/VR,"AWS, Python, Docker",2024,Ongoing,1,Dr. Khan
Optimized Home Automation System,IoT,"Swift, iOS, CoreData",2024,Ongoing,2,Prof. Radhika Dhanal
Integrated Training Simulation Dashboard,AR/VR,"ESP32, MicroPython, MQTT",2022,Ongoing,4,Dr. Kapil Kadam
Smart Games Dashboard,AR/VR,"Vue.js, Django, MySQL",2022,Abandoned,4,Dr.K.T.Mane
Secure Encryption Tool Toolkit,Cybersecurity,"GCP, Python, Pub/Sub",2021,Completed,3,Dr. Khan
Automated Phishing Shield Service,Cybersecurity,"Vue.js, Django, MySQL",2021,Ongoing,1,Dr. Joshi
Automated Patient Monitoring Application,IoT,"Python, Scapy, Burp Suite",2022,Abandoned,5,Dr. Joshi
Automated Auto-scaling System Service,Cloud,"Python, TensorFlow, Pandas",2021,Abandoned,5,Prof. Radhika Dhanal
Interactive Waste Management Dashboard,IoT,"React, Node.js, MongoDB",2021,Ongoing,3,Prof. Verma
Smart Intrusion Detection Platform,Cybersecurity,"React Native, Node.js, MongoDB",2022,Abandoned,4,Prof. Sunny Mohite
Automated Property Registry Application,Blockchain,"Python, PyTorch, NumPy",2025,Abandoned,4,Prof. Sunny Mohite
Automated Expense Manager Platform,Mobile,"Unity, C#, ARCore",2025,Ongoing,2,Prof. Radhika Dhanal
Real-time Portfolio Platform System,Web Dev,"Unity, C#, ARCore",2022,Ongoing,4,Prof. Verma
Real-time Expense Manager Framework,Mobile,"Vue.js, Django, MySQL",2022,Abandoned,3,Dr. Kapil Kadam
Distributed Multi-cloud Manager Service,Cloud,"Python, Scikit-learn, Flask",2021,Abandoned,3,Prof. Jitkar
Distributed Smart Parking Dashboard,IoT,"Python, Wireshark, Metasploit",2023,Abandoned,2,Dr. Pardesi
Distributed Recipe App Framework,Mobile,"Python, Wireshark, Metasploit",2022,Completed,4,Dr.K.T.Mane
Distributed Recommendation Engine Framework,AI/ML,"Python, Scikit-learn, Flask",2025,Ongoing,1,Prof. Jitkar
Integrated Facial Recognition Framework,AI/ML,"Python, PyTorch, NumPy",2025,Completed,5,Dr. Joshi
Optimized Cancer Detection Application,AI/ML,"Arduino, C++, Bluetooth",2021,Ongoing,4,Dr. Kapil Kadam
Integrated Facial Recognition Application,AI/ML,"Arduino, C++, Bluetooth",2023,Ongoing,4,Prof. Jitkar
Intelligent Education App Mechanism,Mobile,"Arduino, Python, MQTT",2021,Completed,1,Prof. Sunny Mohite
Distributed Energy Metering Dashboard,IoT,"Raspberry Pi, OpenCV, Python",2025,Ongoing,3,Dr. Khan
Secure Training Simulation Service,AR/VR,"Vue.js, Django, MySQL",2023,Ongoing,3,Dr. Pardesi
Optimized Virtual Tour Application,AR/VR,"Flutter, Dart, Firebase",2022,Ongoing,5,Dr. Kapil Kadam
Automated Network Firewall System,Cybersecurity,"React, Node.js, MongoDB",2021,Completed,2,Dr.K.T.Mane
Optimized Smart Parking Application,IoT,"Solidity, Hardhat, Web3.js",2025,Completed,3,Dr. Nair
Secure Inventory Management System,Web Dev,"React, Node.js, MongoDB",2022,Ongoing,1,Dr. Nair
Intelligent Stock Analysis Service,AI/ML,"Unity, C#, ARCore",2021,Ongoing,2,Prof. Jitkar
Integrated Social Media Dashboard Platform,Web Dev,"Raspberry Pi, OpenCV, Python",2021,Completed,3,Dr. Kapil Kadam
Secure Job Portal System,Web Dev,"React, Node.js, MongoDB",2023,Ongoing,4,Dr.K.T.Mane
Intelligent Patient Monitoring Mechanism,IoT,"Python, Scikit-learn, Flask",2025,Ongoing,4,Dr. Kapil Kadam
Real-time Education App Toolkit,Mobile,"Next.js, Tailwind, Firebase",2024,Completed,4,Prof. Verma
Smart Energy Metering Framework,IoT,"ESP32, MicroPython, MQTT",2023,Abandoned,2,Dr. Kapil Kadam
Integrated Voting System Framework,Blockchain,"Azure, Kubernetes, Terraform",2025,Ongoing,5,Prof. Sunny Mohite
Distributed Intrusion Detection Platform,Cybersecurity,"Flutter, Dart, Firebase",2021,Completed,4,Dr. Nair
Scalable Recommendation Engine Dashboard,AI/ML,"ESP32, MicroPython, MQTT",2024,Abandoned,3,Dr. Khan
Smart Stock Analysis Application,AI/ML,"Python, Snort, Wireshark",2021,Ongoing,5,Prof. Jitkar
Integrated Patient Monitoring Framework,IoT,"Python, Nmap, Kali Linux",2021,Abandoned,5,Prof. Verma
Automated Portfolio Platform Service,Web Dev,"Raspberry Pi, OpenCV, Python",2021,Ongoing,3,Dr.K.T.Mane
Secure Network Firewall Framework,Cybersecurity,"Python, Nmap, Kali Linux",2022,Completed,4,Prof. Jitkar
Scalable Multi-cloud Manager Dashboard,Cloud,"React Native, Node.js, MongoDB",2022,Completed,3,Prof. Jitkar
Smart Anatomy Visualization Mechanism,AR/VR,"React, Node.js, MongoDB",2021,Completed,5,Prof. Sunny Mohite
Interactive Energy Metering Platform,IoT,"Android, Java, SQLite",2023,Ongoing,2,Dr. Joshi
Smart Expense Manager Application,Mobile,"Python, Keras, Matplotlib",2024,Abandoned,4,Dr. Khan
